,Kevin Ford,Jeremy Tyson,Anil  Hirani,Sheldon Katz H.,Pierre Albin,Nathan M.  Dunfield,Alexandr  Kostochka,Rinat Kedem,Renming Song,Christopher  Dodd,Iwan M. Duursma,Randy McCarthy,Charles  Rezk,Rui Loja Fernandes,Igor Mineyev,Sankar P. Dutta,Alexander  Yong,Susan Tolman,M. Burak  Erdoğan,Marius Junge,Vera Mikyoung Hur,Vesna Stojanoska,Scott  Ahlgren,Steven  Bradlow,Zoi Rapti,Richard B. Sowers,Jozsef Balogh,Denka  Kutzarova,Alexandru Zaharescu,Gabriele La Nave,Matthew Ando,Daniel Berwick-Evans,Lee DeVille,Florin P. Boca,Jesse Thorner,Vadim Zharnitsky,Eugene M.  Lerman,Bruce  Reznick,Partha Sarathi Dey,Aimo  Hinkkanen,Igor G. Nikolaev,James Pascaleff,Jared  Bronski,Runhuan Feng,William  Haboush,Yuliy Baryshnikov,Eduard-Wilhelm Kirr,Timur Oikhberg,Felix Leditzky,Kay  Kirkpatrick,Xiaochen Jing,Nikolaos Tzirakis,Ely Kerman,Philippe Di Francesco,Richard S. Laugesen,Jeremiah  Heller,Rosemary Guzman
Charles  Rezk,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,2.0,5.0
Rui Loja Fernandes,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0
Igor Mineyev,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,0.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0
Sankar P. Dutta,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,6.0,3.0,5.0,4.0,5.0,4.0,5.0,0.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,6.0,5.0,6.0,3.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,4.0,4.0,5.0
Alexander  Yong,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,4.0,3.0,4.0,4.0,5.0
Susan Tolman,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,5.0
M. Burak  Erdoğan,3.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0,5.0,5.0,2.0,3.0,4.0,4.0,2.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0
Marius Junge,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,1.0,3.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0
Vera Mikyoung Hur,3.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,1.0,4.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0
Vesna Stojanoska,4.0,3.0,6.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,0.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,4.0,4.0,2.0,5.0
Scott  Ahlgren,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,5.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,6.0,3.0,5.0,4.0,3.0,4.0,5.0
Steven  Bradlow,4.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,6.0,3.0,2.0,3.0,4.0,4.0,5.0
Zoi Rapti,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,6.0,1.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,5.0,6.0
Richard B. Sowers,4.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,0.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,6.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,6.0,5.0
Jozsef Balogh,2.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,0.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0
Denka  Kutzarova,1.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,0.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0
Alexandru Zaharescu,1.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,2.0,0.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0
Gabriele La Nave,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0
Matthew Ando,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,3.0,4.0,2.0,5.0
Daniel Berwick-Evans,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,6.0,4.0,2.0,5.0,6.0,4.0,6.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,0.0,2.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,6.0,6.0,3.0,6.0,5.0,4.0,5.0,6.0,5.0,5.0,7.0,5.0,3.0,4.0,5.0,5.0,5.0
Lee DeVille,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,4.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0
Florin P. Boca,2.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,1.0,4.0,5.0,5.0,4.0,0.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,6.0,6.0
Jesse Thorner,2.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,5.0,4.0,2.0,3.0,4.0,5.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,3.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0
Vadim Zharnitsky,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,5.0,0.0,3.0,3.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0
Eugene M.  Lerman,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,3.0,0.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,6.0,4.0,2.0,3.0,4.0,4.0,4.0
Bruce  Reznick,3.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0
Partha Sarathi Dey,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,5.0,5.0,6.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,6.0,6.0
Aimo  Hinkkanen,2.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,0.0,4.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0
Igor G. Nikolaev,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,6.0,6.0
James Pascaleff,5.0,6.0,5.0,3.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,5.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,0.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,4.0,6.0
Jared  Bronski,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,0.0,5.0,5.0,3.0,2.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,6.0
Runhuan Feng,5.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0,6.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,0.0,6.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,6.0,6.0
William  Haboush,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,3.0,3.0,5.0,4.0
Yuliy Baryshnikov,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,0.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0
Eduard-Wilhelm Kirr,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,6.0,2.0,4.0,5.0,3.0,0.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,3.0,5.0,6.0
Timur Oikhberg,2.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,6.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,0.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0
Felix Leditzky,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0
Kay  Kirkpatrick,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,6.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,0.0,6.0,2.0,4.0,3.0,3.0,5.0,6.0
Xiaochen Jing,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,5.0,7.0,6.0,6.0,5.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,1.0,6.0,5.0,5.0,5.0,5.0,6.0,0.0,6.0,6.0,6.0,4.0,7.0,7.0
Nikolaos Tzirakis,3.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,1.0,4.0,3.0,4.0,4.0,5.0,6.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,2.0,6.0,0.0,5.0,4.0,4.0,5.0,6.0
Ely Kerman,4.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,6.0,5.0,0.0,2.0,4.0,5.0,5.0
